Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
636,Stephen Vogt*,37,OAK,AL,19,54,48,7,8,0,0,3,4,0,0,5,14,.167,.259,.354,.613,79,17,1,1,0,0,0,D/H23,vogtst01
637,Luke Voit,31,SDP,NL,56,237,207,28,48,13,0,9,32,1,0,27,80,.232,.321,.425,.746,116,88,4,1,0,2,1,D/3H,voitlu01
638,Jason Vosler*,28,SFG,NL,17,58,51,9,15,2,0,4,8,1,1,6,15,.294,.362,.569,.931,158,29,1,0,0,1,1,5/3H,vosleja01
639,Joey Votto*,38,CIN,NL,56,227,192,19,40,13,1,5,23,0,0,29,56,.208,.330,.365,.695,86,70,3,6,0,0,0,3/DH,vottojo01
640,LaMonte Wade Jr.*,28,SFG,NL,10,32,25,4,6,0,0,1,5,0,0,5,5,.240,.375,.360,.735,109,9,0,1,0,1,0,/97H3D,wadela01
641,Tyler Wade*,27,LAA,AL,65,157,143,22,32,5,0,1,8,7,5,8,32,.224,.270,.280,.549,58,40,3,1,5,0,0,465H/798D,wadety01
642,Christian Walker,31,ARI,NL,73,298,256,36,52,10,1,19,39,0,2,36,58,.203,.309,.473,.781,120,121,5,4,0,2,2,*3/D,walkech02
643,Steele Walker*,25,TEX,AL,5,16,14,1,1,0,0,1,1,0,0,2,4,.071,.188,.286,.473,35,4,0,0,0,0,0,/7H9,walkest01
644,Chad Wallach,30,LAA,AL,10,36,32,3,5,1,0,1,4,0,0,3,7,.156,.229,.281,.510,45,9,1,0,1,0,0,2,wallach01
645,Taylor Walls#,25,TBR,AL,63,208,188,19,31,7,2,3,9,5,1,19,55,.165,.245,.271,.516,53,51,4,1,0,0,0,654/HD,wallsta01
646,Jared Walsh*,28,LAA,AL,73,286,269,32,70,12,2,13,40,1,1,14,82,.260,.304,.465,.769,116,125,5,3,0,0,2,*3/H7,walshja01
647,Donovan Walton*,28,TOT,MLB,20,62,60,9,10,7,0,1,8,0,0,1,11,.167,.194,.333,.527,45,20,0,1,0,0,0,4/6H51,waltodo01
648,Donovan Walton*,28,SEA,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/5H,waltodo01
649,Donovan Walton*,28,SFG,NL,19,62,60,8,10,7,0,1,8,0,0,1,11,.167,.194,.333,.527,45,20,0,1,0,0,0,4/6H1,waltodo01
650,Taylor Ward,28,LAA,AL,53,224,195,40,61,10,2,11,31,2,2,29,51,.313,.402,.554,.956,170,108,2,0,0,0,0,*9/HD,wardta01
651,Luke Weaver,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1DH,weavelu01
